0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,100000.0,1.9,1,12452,0.004145666666666666,0.0007695871345030016,0.013157894736842105,0.02631578947368421,0.05263157894736842,0.15789473684210525,0.3684210526315789,-0.3235931219657157,0.10524078658332767,0.00033300055656582117,0.0011223336914554238,0.0035555551294237375,0.010084033943712711,0.03661971911787987,0.017377235,0.0035321307,48.21102371423622,246.61200469118774,823.0621996696573,2530.542713639047,10331.26439942347,4851.622054669601,381517564.5775358,0.0002174383116653189,0.001110699726268649,0.0031796505209058523,0.008695650845766068,0.03067292645573616,0.014255813,0.0024121683
1,100000.0,1.9,1,12690,0.0042246666666666665,0.0008287081871345693,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.17105263157894737,0.3684210526315789,-0.14227715938026167,0.13756821317420753,0.000360360398190096,0.0013526570983231068,0.004137931391596794,0.01122448779642582,0.0392782986164093,0.018348241,0.0034239525,54.96551172219915,298.2588633033447,964.0728823661339,2853.3042203639625,11231.714612982229,5075.298916789785,341568754.6393787,0.000360360398190096,0.001297219772823155,0.003630496561527252,0.00965877529233694,0.03220873326063156,0.014530217,0.002091142
1,100000.0,1.9,1,12246,0.004076333333333334,0.0008196767251462551,0.013157894736842105,0.02631578947368421,0.07894736842105263,0.18421052631578946,0.3815789473684211,-0.05459688908807166,0.08890288453520993,0.000360360398190096,0.001568627660162747,0.005022328346967697,0.014318522065877914,0.054222218692302704,0.023839919,0.0047120233,60.55975593831972,334.1071643234231,1147.4187137465924,3616.894435526804,15492.152838622593,6901.942113159899,539676745.8615888,0.000360360398190096,0.0013526568654924631,0.004133597016334534,0.010793652385473251,0.036573175340890884,0.01651392,0.0024945773
1,100000.0,1.9,1,12878,0.004289,0.0008391176608187874,0.013157894736842105,0.02631578947368421,0.07894736842105263,0.17105263157894737,0.3684210526315789,-0.1469450497078632,0.05857143677351194,0.000360360398190096,0.0013526568654924631,0.004095003940165043,0.011108970269560814,0.039560433477163315,0.018331379,0.0035057564,53.93588246288709,291.75212050485425,948.8141113892198,2784.8291949085888,10881.025981789833,4897.1327885193205,331411189.2912148,0.0003513394040055573,0.0012269706930965185,0.0035824060905724764,0.009512941353023052,0.031955428421497345,0.0142107,0.0019952692
1,100000.0,1.9,1,13136,0.004373333333333333,0.0008425739181287215,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.17105263157894737,0.3684210526315789,-0.19886146453276068,0.06624207078296207,0.000360360398190096,0.0013526568654924631,0.003968259319663048,0.010958319529891014,0.039232783019542694,0.018269442,0.0034865611,53.9534228220582,284.03146610059775,922.2288142889738,2765.053294910118,10984.819450322539,4978.899242412103,344863900.2557638,0.000360360398190096,0.0011428572470322251,0.003555556060746312,0.009652509354054928,0.03210483118891716,0.014519529,0.002116523
2,100000.0,1.7,1,6893,0.002296,0.0004115035087719399,0.013157894736842105,0.02631578947368421,0.05263157894736842,0.15789473684210525,0.34210526315789475,-0.43071366538243844,0.12071435705033992,0.000360360398190096,0.0011428572470322251,0.003555558156222105,0.01041666604578495,0.04350060224533081,0.02074847,0.004854456,51.34749586801045,257.043141481874,865.3237082902342,2715.175292661133,11623.958868869397,5435.858133043231,454453667.8311194,0.00023490881721954793,0.001110699726268649,0.003278688294813037,0.009009009227156639,0.03272727131843567,0.01525992,0.002650556
2,100000.0,1.7,1,5582,0.0018606666666666667,0.0003923464327485406,0.013157894736842105,0.02631578947368421,0.07894736842105263,0.21052631578947367,0.39473684210526316,0.1188171193922896,0.15720930777103195,0.000360360398190096,0.001688872231170535,0.005435184575617313,0.015619049780070782,0.05782448500394821,0.027130004,0.006777703,60.98865079442621,370.83243217491537,1289.7190249317791,3926.109472389938,14804.152133703228,6390.321735772859,451316913.6170968,0.00021743927209172398,0.0013526568654924631,0.004137931391596794,0.010958904400467873,0.035081859678030014,0.016422719,0.002926147
2,100000.0,1.7,1,5969,0.001988666666666667,0.00037655239766081454,0.013157894736842105,0.02631578947368421,0.05263157894736842,0.18421052631578946,0.3684210526315789,-0.26075825605761976,0.16870694068391684,0.00017777777975425124,0.0011428572470322251,0.003841807832941413,0.011011012829840183,0.04201680049300194,0.020895649,0.0052211294,47.711162264028104,256.0346547344816,908.5200784076005,2866.2168576929253,11553.048514445141,5299.27162375606,440621771.91081166,0.00017777777975425124,0.0009920597076416016,0.0033482143189758062,0.009036236442625523,0.03166023641824722,0.015095948,0.0029053676
2,100000.0,1.7,1,6559,0.0021856666666666665,0.0003648015204678315,0.013157894736842105,0.02631578947368421,0.05263157894736842,0.13157894736842105,0.34210526315789475,-0.6256120167547354,0.10562600771497097,0.0001795824064174667,0.0009389671613462269,0.0028940769843757153,0.009036234579980373,0.03769441321492195,0.019127093,0.0047968435,45.401450194057546,216.13508555260478,711.8740209863754,2320.013855789229,10526.579501740636,5224.2078728845945,492464121.9005639,0.00017777777975425124,0.0009389671613462269,0.0026760848704725504,0.007462688256055117,0.028888890519738197,0.014272149,0.0027811718
2,100000.0,1.7,1,6760,0.002252,0.00043630549707603404,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.18421052631578946,0.3684210526315789,-0.17769232474975358,0.08939464458054304,0.00033300029463134706,0.0013526568654924631,0.0041379304602742195,0.011513859033584595,0.0434027835726738,0.02063753,0.004718342,52.44922287047957,282.6666939340066,972.1085665589198,2966.3305489819495,11903.775290906431,5364.563607188674,425695755.3325995,0.00023257116845343262,0.0011428572470322251,0.0035824060905724764,0.00969697069376707,0.03338632360100746,0.015282458,0.0025229317
